**************************************
*    e-Kinetics Rate Coefficients    *
**************************************

ID   Ine.R.Coeff.(m^3s^-1) Sup.R.Coeff.(m^3s^-1) Threshold(eV)         Description
  22 1.03270430484912e-14  (N/A)                 +4.95000000000000e+00 +1.32171796785525e+17   e+O2(+,X)->O(3P)+O(1D),powerElectronTemp
  23 7.00000000000000e-22  (N/A)                 +9.80000000000000e-01 +6.24017410833919e+16   O2(a1Dg)+O(3P)->O2(X)+O(3P),constantRateCoeff
  24 3.00000000000000e-44  (N/A)                 +9.80000000000000e-01 +1.44474594866752e+14   O2(a1Dg)+O(3P)+O2(X)->O2(X)+O(3P)+O2(X),constantRateCoeff
  25 2.09695260038545e-23  (N/A)                 +3.30000000000000e-01 +3.05865028486076e+14   2O2(a1Dg)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  26 2.33605022434916e-24  (N/A)                 +9.80000000000000e-01 +4.81974813915987e+14   O2(a1Dg)+O2(X)->O2(X)+O2(X),powerGasTemp
  27 4.00000000000000e-20  (N/A)                 +6.50000000000000e-01 +1.27601403397465e+16   O2(b1Sg+)+O(3P)->O2(a1Dg)+O(3P),constantRateCoeff
  28 4.10733836365416e-20  (N/A)                 +1.63000000000000e+00 +1.31025534857630e+16   O2(b1Sg+)+O(3P)->O2(X)+O(3P),arrheniusSumGasTemp
  29 7.67069286339111e-23  (N/A)                 -3.30000000000000e-01 +2.44697793599906e+13   O2(b1Sg+)+O(3P)->O2(X)+O(1D),modifiedArrheniusGasTemp
  30 4.95000000000000e-18  (N/A)                 +4.50000000000000e+00 +9.75758500861926e+16   O2(A3Su+_C3Du_c1Su-)+O(3P)->O2(X)+O(3P),constantRateCoeff
  31 2.70000000000000e-18  (N/A)                 +1.56000000000000e+00 +5.32231909561051e+16   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(a1Dg),constantRateCoeff
  32 1.35000000000000e-18  (N/A)                 +9.10000000000000e-01 +2.66115954780525e+16   O2(A3Su+_C3Du_c1Su-)+O(3P)->O(1D)+O2(b1Sg+),constantRateCoeff
  33 2.30000000000000e-20  (N/A)                 +4.50000000000000e+00 +1.04932128417185e+15   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(X)+O2(X),constantRateCoeff
  34 1.86000000000000e-19  (N/A)                 +3.52000000000000e+00 +8.48581560243325e+15   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(a1Dg)+O2(X),constantRateCoeff
  35 2.10000000000000e-20  (N/A)                 +2.87000000000000e+00 +9.58075955113432e+14   O2(A3Su+_C3Du_c1Su-)+O2(X)->O2(b1Sg+)+O2(X),constantRateCoeff
  36 8.00000000000000e-18  (N/A)                 +1.96000000000000e+00 +5.46157209175908e+17   O(1D)+O(3P)->O(3P)+O(3P),constantRateCoeff
  37 3.48243238674585e-45  (N/A)                 +5.16000000000000e+00 +1.02496817411705e+14   2O(3P)+O2(X)->O2(X)+O2(X),modifiedArrheniusGasTemp
  38 2.29840537525226e-45  (N/A)                 +4.18000000000000e+00 +6.76478994917256e+13   2O(3P)+O2(X)->O2(a1Dg)+O2(X),modifiedArrheniusGasTemp
  39 1.18402701149359e-45  (N/A)                 +3.53000000000000e+00 +3.48489179199798e+13   2O(3P)+O2(X)->O2(b1Sg+)+O2(X),modifiedArrheniusGasTemp
  40 6.55891142430513e-45  (N/A)                 +5.16000000000000e+00 +8.34095833700009e+13   2O(3P)+O(3P)->O2(X)+O(3P),powerGasTemp
  41 8.61155671634080e-18  (N/A)                 +1.96000000000000e+00 +1.36067013067550e+18   O(1D)+O2(X)->O(3P)+O2(X),arrheniusGasTemp
  42 9.84177910438949e-19  (N/A)                 +9.80000000000000e-01 +1.55505157791486e+17   O(1D)+O2(X)->O(3P)+O2(a1Dg),arrheniusGasTemp
  43 3.14936931340464e-17  (N/A)                 +3.30000000000000e-01 +4.97616504932755e+18   O(1D)+O2(X)->O(3P)+O2(b1Sg+),arrheniusGasTemp
  44 1.50000000000000e-17  (N/A)                 +5.50000000000000e-01 +1.14938691030661e+15   O2(b1Sg+)+O3(X)->2O2(X)+O(3P),constantRateCoeff
  45 1.20000000000000e-16  (N/A)                 +6.04000000000000e+00 +1.96783399079402e+15   O(1D)+O3(X)->2O2(X),constantRateCoeff
  46 1.20000000000000e-16  (N/A)                 +8.80000000000000e-01 +1.96783399079402e+15   O(1D)+O3(X)->O2(X)+2O(3P),constantRateCoeff
  47 7.97575901687926e-21  (N/A)                 -1.00000000000000e-01 +1.70785194622694e+14   O2(a1Dg)+O3(X)->2O2(X)+O(3P),arrheniusGasTemp
  48 7.33250479810348e-21  (N/A)                 +4.08000000000000e+00 +9.59595069981411e+14   O(3P)+O3(X)->2O2(X),arrheniusGasTemp
  49 4.83945316674830e-21  (N/A)                 +3.10000000000000e+00 +6.33332746187731e+14   O(3P)+O3(X)->O2(a1Dg)+O2(X),arrheniusGasTemp
  50 2.49305163135518e-21  (N/A)                 +2.45000000000000e+00 +3.26262323793680e+14   O(3P)+O3(X)->O2(b1Sg+)+O2(X),arrheniusGasTemp
  51 2.00000000000000e-19  (N/A)                 +7.00000000000001e-02 +5.15517784662536e+10   O3(exc)+O(3P)->O3(X)+O(3P),constantRateCoeff
  52 3.00000000000000e-21  (N/A)                 +7.00000000000001e-02 +1.78969247860368e+09   O3(exc)+O2(X)->O3(X)+O2(X),constantRateCoeff
  53 4.85827284081703e-18  (N/A)                 -3.00000000000002e-02 +2.04898180154175e+11   O2(a1Dg)+O3(exc)->2O2(X)+O(3P),arrheniusGasTemp
  54 1.66789656400392e-18  (N/A)                 +4.15000000000000e+00 +4.29915170860779e+11   O(3P)+O3(exc)->2O2(X),arrheniusGasTemp
  55 6.10334356694894e-46  (N/A)                 +1.08000000000000e+00 +1.79636880693910e+13   O(3P)+O2(X)+O(3P)->O3(X)+O(3P),arrheniusGasTemp
  56 1.64107678390445e-46  (N/A)                 +1.08000000000000e+00 +1.11789262343359e+13   O(3P)+O2(X)+O2(X)->O3(X)+O2(X),arrheniusGasTemp
  57 3.33188316732117e-46  (N/A)                 +1.01000000000000e+00 +2.26966078091063e+13   O(3P)+O2(X)+O2(X)->O3(exc)+O2(X),arrheniusGasTemp
  58 4.87786399572513e-46  (N/A)                 +1.08000000000000e+00 +3.44855298306391e+09   O(3P)+O2(X)+O3(X)->O3(X)+O3(X),expGasTemp
  59 1.00000000000000e-18  (N/A)                 +0.00000000000000e+00 +5.56556116017944e+15   O(-,gnd)+O2(X)->e+O3(X),constantRateCoeff
  60 1.42500000000000e-16  (N/A)                 +0.00000000000000e+00 +5.60690071355833e+16   O(-,gnd)+O2(a1Dg)->e+O3(X),constantRateCoeff
  61 1.30000000000000e-15  (N/A)                 +0.00000000000000e+00 +3.12614278615018e+18   O(-,gnd)+O(3P)->e+O2(X),constantRateCoeff
  62 6.90000000000000e-16  (N/A)                 +0.00000000000000e+00 +9.71524784924409e+14   O(-,gnd)+O2(b1Sg+)->e+O(3P)+O2(X),constantRateCoeff
  63 2.80000000000000e-13  (N/A)                 +1.20700000000000e+01 +5.45348936204445e+13   O(+,gnd)+O(-,gnd)->2O(3P),constantRateCoeff
  64 1.00000000000000e-16  (N/A)                 +5.61000000000000e+00 +1.05995306013814e+12   O(+,gnd)+O3(X)->O2(+,X)+O2(X),constantRateCoeff
  65 1.92638377323549e-17  (N/A)                 +1.53000000000000e+00 +1.96740339972122e+15   O(+,gnd)+O2(X)->O2(+,X)+O(3P),powerGasTemp
  66 1.92638377323549e-17  (N/A)                 +2.51000000000000e+00 +1.39088895785004e+14   O(+,gnd)+O2(a1Dg)->O2(+,X)+O(3P),powerGasTemp
  67 9.24664211153034e-14  (N/A)                 +1.05400000000000e+01 +3.42648821279137e+16   O2(+,X)+O(-,gnd)->O2(X)+O(3P),powerGasTemp
  68 5.16375205443237e+00  (N/A)                 +9.80000000000000e-01 +1.97213202682887e+19   O2(a1Dg)+Wall->O2(X),multicomponentTransportChantry
  69 3.34925593764456e+03  (N/A)                 +1.63000000000000e+00 +4.57736699236262e+19   O2(b1Sg+)+Wall->O2(X),multicomponentTransportChantry
  70 3.91171758499041e+04  (N/A)                 +4.50000000000000e+00 +3.30351722070284e+19   O2(A3Su+_C3Du_c1Su-)+Wall->O2(X),multicomponentTransportChantry
