**************************************
*    e-Kinetics Rate Coefficients    *
**************************************

ID   Ine.R.Coeff.(m^3s^-1) Sup.R.Coeff.(m^3s^-1) Threshold(eV)         Description
 110 3.94148819813133e-19  (N/A)                 1.37442700000000e+01  e+CO(X,v=1)->e+e+CO(+,X),Ionization
 111 4.96957616835587e-19  (N/A)                 0.00000000000000e+00  e+CO(X,v=2)->e+e+CO(+,X),Ionization
 112 6.23817239177967e-19  (N/A)                 1.32227100000000e+01  e+CO(X,v=3)->e+e+CO(+,X),Ionization
 113 7.79731805489846e-19  (N/A)                 0.00000000000000e+00  e+CO(X,v=4)->e+e+CO(+,X),Ionization
 114 9.70465846317355e-19  (N/A)                 0.00000000000000e+00  e+CO(X,v=5)->e+e+CO(+,X),Ionization
 115 1.20281769867681e-18  (N/A)                 1.24650700000000e+01  e+CO(X,v=6)->e+e+CO(+,X),Ionization
 116 1.48468145079760e-18  (N/A)                 1.22191200000000e+01  e+CO(X,v=7)->e+e+CO(+,X),Ionization
 117 1.82518892067984e-18  (N/A)                 0.00000000000000e+00  e+CO(X,v=8)->e+e+CO(+,X),Ionization
 118 2.23497738386887e-18  (N/A)                 1.17371000000000e+01  e+CO(X,v=9)->e+e+CO(+,X),Ionization
 119 2.72573725744672e-18  (N/A)                 1.15010300000000e+01  e+CO(X,v=10)->e+e+CO(+,X),Ionization
  99 2.76781228495370e-15  (N/A)                 6.00000000000000e+00  e+O3(X)->e+O(3P)+O2(X),Excitation

**************************************
*     Chemistry Rate Coefficients    *
**************************************

ID   Dir.R.Coeff.(S.I.)    Inv.R.Coeff.(S.I.)    Enthalpy(eV)          Net.Reac.Rate(m^-3s^-1) Description
   1 3.82736275225741e-16  9.50532631393292e-16  +0.00000000000000e+00 +1.72230690495632e+20   e+O2(X)<->e+O2(a1Dg),eedf
   2 8.86192806513886e-17  6.26040152563285e-16  +0.00000000000000e+00 +4.97312300901912e+19   e+O2(X)<->e+O2(b1Sg+),eedf
   3 1.73920682646084e-15  4.91098327604233e-15  +0.00000000000000e+00 +7.78715851201126e+19   e+O2(a1Dg)<->e+O2(b1Sg+),eedf
   4 1.29858368328119e-15  6.57140512252881e-15  +0.00000000000000e+00 +5.03929775503737e+20   e+O(3P)<->e+O(1D),eedf
   5 1.70693246431015e-16  4.71656633051088e-16  +0.00000000000000e+00 +9.61872963012708e+19   e+O2(X)<->e+O2(A3Su+_C3Du_c1Su-),eedf
   6 2.52971142630511e-16  (N/A)                 +8.40000000000000e-01 +1.42565014032677e+20   e+O2(X)->e+2O(3P),eedf
   7 3.00591314360230e-16  (N/A)                 +1.27000000000000e+00 +1.69401950373680e+20   e+O2(X)->e+O(3P)+O(1D),eedf
   8 6.82849756433607e-16  (N/A)                 +8.40000000000000e-01 +3.12247155038445e+19   e+O2(a1Dg)->e+2O(3P),eedf
   9 5.88869394285520e-16  (N/A)                 +1.27000000000000e+00 +2.69272693330372e+19   e+O2(a1Dg)->e+O(3P)+O(1D),eedf
  10 1.07822408356678e-15  (N/A)                 +8.40000000000000e-01 +3.63852854668394e+17   e+O2(b1Sg+)->e+2O(3P),eedf
